学士会館	がくしかいかん	学士会馆
おまわりさん	おまわりさん	警察、巡警
交差点	こうさてん	十字路口
（５）階建て	（ご）かいだて	（5）层楼房
周り	まわり	四周、周围
看板	かんばん	招牌、广告牌、海报
（5人）目	（ごにん）め	第（5个）人
日	ひ	太阳
のぼる	のぼる	升起
平日	へいじつ	平常、普通日子（除周末、节假日之外）
休日	きゅうじつ	休息日、假日
足す	たす	增加、加
引く	ひく	减少、减
かける	かける	乘、乘以
割る	わる	除、除以
通る	とおる	通过
角	かど	拐角、路口
左折する	させつする	向左转弯
右折する	うせつする	向右转弯
自信	じしん	自信、信心
洗濯物	せんたくもの	洗的衣物
あくび	あくび	哈欠
スーパーコンビューター	スーパーコンビューター	超级电子计算机
せき	せき	咳嗽
事件	じけん	事件，犯罪、事故等成为社会话题的事
ちょうどいい	ちょうどいい	正好合适
まあまあ	まあまあ	还说的过去、还算可以
中ぐらい	ちゅうぐらい	中的
